FOLIO,full_address,zip_code,n_roof_permits,last_roof_permit_date,LastRoofYear,roof_age,roof_confidence,n_violations,has_unsafe_viol,n_roof_contractors_zip
3069120440220,"12231 SW 203 TER, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2025-07-29 00:00:00+00:00,2025.0,1.0,0.9,,0,12.0
3040180320750,"11431 SW 32 LN, UNINCORPORATED COUNTY, FL 33165",33165.0,2.0,2025-06-17 00:00:00+00:00,2025.0,1.0,0.9,,0,18.0
3022180072990,"310 NE 163 ST, UNINCORPORATED COUNTY, FL 33162",33162.0,2.0,2025-08-12 00:00:00+00:00,2025.0,1.0,0.9,,0,2.0
3068110003130,"19490 SW 210 ST, UNINCORPORATED COUNTY, FL 33187",33187.0,2.0,2025-01-03 00:00:00+00:00,2025.0,1.0,0.9,,0,15.0
3049340070410,"7905 SW 146 CT, UNINCORPORATED COUNTY, FL 33183",33183.0,1.0,2025-02-07 00:00:00+00:00,2025.0,1.0,0.9,,0,11.0
3049101000080,"2023 SW 143 PL, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2025-02-20 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3040100290230,"1435 SW 78 AVE, UNINCORPORATED COUNTY, FL 33144",33144.0,2.0,2025-06-11 00:00:00+00:00,2025.0,1.0,0.9,,0,7.0
3020030450730,"8186 NW 199 TER, UNINCORPORATED COUNTY, FL 33015",33015.0,1.0,2024-01-16 00:00:00+00:00,2024.0,2.0,0.9,,0,17.0
3050190020360,"15045 HARRISON ST, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2024-06-18 00:00:00+00:00,2024.0,2.0,0.9,,0,19.0
3069010030190,"11705 SW 187 ST, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2025-02-19 00:00:00+00:00,2025.0,1.0,0.9,,0,12.0
3049260021060,"13491 SW 68 ST, UNINCORPORATED COUNTY, FL 33183",33183.0,1.0,2025-11-08 00:00:00+00:00,2025.0,1.0,0.9,,0,11.0
3069250091240,"12341 SW 251 ST, UNINCORPORATED COUNTY, FL 33032",33032.0,1.0,2024-12-01 00:00:00+00:00,2024.0,2.0,0.9,,0,8.0
3059040010610,"8948 SW 150 COURT CIR W, UNINCORPORATED COUNTY, FL 33196",33196.0,1.0,2025-07-25 00:00:00+00:00,2025.0,1.0,0.9,,0,17.0
3069320010210,"27220 SW 164 CT, UNINCORPORATED COUNTY, FL 33031",33031.0,1.0,2024-06-25 00:00:00+00:00,2024.0,2.0,0.9,3.0,0,3.0
3049200031150,"15840 SW 55 TER, UNINCORPORATED COUNTY, FL 33185",33185.0,1.0,2025-10-07 00:00:00+00:00,2025.0,1.0,0.9,,0,3.0
3059330180180,"17891 SW 152 CT, UNINCORPORATED COUNTY, FL 33187",33187.0,1.0,2024-07-29 00:00:00+00:00,2024.0,2.0,0.9,,0,15.0
3050170240090,"10360 SW 125 ST, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2023-12-04 00:00:00+00:00,2023.0,3.0,0.9,,0,19.0
3040230230180,"4257 SW 69 AVE, UNINCORPORATED COUNTY, FL 33155",33155.0,1.0,2025-09-29 00:00:00+00:00,2025.0,1.0,0.9,,0,24.0
3040300180260,"7100 SW 111 PL, UNINCORPORATED COUNTY, FL 33173",33173.0,1.0,2024-07-17 00:00:00+00:00,2024.0,2.0,0.9,,0,4.0
3049100730050,"1000 SW 142 AVE, UNINCORPORATED COUNTY, FL 33184",33184.0,1.0,2024-07-31 00:00:00+00:00,2024.0,2.0,0.9,,0,2.0
3021270341930,"12220 NW 23 PATH, UNINCORPORATED COUNTY, FL 33167",33167.0,2.0,2024-06-24 00:00:00+00:00,2024.0,2.0,0.9,,0,1.0
3040240100290,"5475 SW 58 AVE, UNINCORPORATED COUNTY, FL 33155",33155.0,1.0,2023-12-08 00:00:00+00:00,2023.0,3.0,0.9,,0,24.0
3040340220140,"8435 SW 80 PL, UNINCORPORATED COUNTY, FL 33143",33143.0,1.0,2024-07-29 00:00:00+00:00,2024.0,2.0,0.9,,0,4.0
3040190090250,"10830 WESTWOOD LAKE DR, UNINCORPORATED COUNTY, FL 33165",33165.0,1.0,2024-04-01 00:00:00+00:00,2024.0,2.0,0.9,,0,18.0
3031280111370,"3001 NW 30 AVE, UNINCORPORATED COUNTY, FL 33142",33142.0,1.0,2024-03-12 00:00:00+00:00,2024.0,2.0,0.9,,0,6.0
3068260000121,"18835 SW 256 ST, UNINCORPORATED COUNTY, FL 33031",33031.0,1.0,2025-07-28 00:00:00+00:00,2025.0,1.0,0.9,,0,3.0
3020090040150,"9117 NW 176 LN, UNINCORPORATED COUNTY, FL 33018",33018.0,1.0,2024-10-17 00:00:00+00:00,2024.0,2.0,0.9,,0,15.0
3049010021900,"461 SW 120 AVE, UNINCORPORATED COUNTY, FL 33184",33184.0,1.0,2024-05-31 00:00:00+00:00,2024.0,2.0,0.9,,0,2.0
3059120211110,"10728 SW 117 CT, UNINCORPORATED COUNTY, FL 33186",33186.0,1.0,2025-08-01 00:00:00+00:00,2025.0,1.0,0.9,,0,22.0
3039510041130,"652 NW 122 PL, UNINCORPORATED COUNTY, FL 33182",33182.0,1.0,2024-04-11 00:00:00+00:00,2024.0,2.0,0.9,1.0,0,6.0
3031110352620,"1078 NW 75 ST, UNINCORPORATED COUNTY, FL 33150",33150.0,1.0,2025-03-21 00:00:00+00:00,2025.0,1.0,0.9,,0,8.0
3012310181430,"1025 NE 203 LN, UNINCORPORATED COUNTY, FL 33179",33179.0,1.0,2024-05-22 00:00:00+00:00,2024.0,2.0,0.9,,0,9.0
3049290031800,"15891 SW 68 TER, UNINCORPORATED COUNTY, FL 33193",33193.0,1.0,2024-05-07 00:00:00+00:00,2024.0,2.0,0.9,,0,5.0
3040210150310,"9350 SW 45 TER, UNINCORPORATED COUNTY, FL 33165",33165.0,2.0,2025-09-24 00:00:00+00:00,2025.0,1.0,0.9,,0,18.0
3031110351940,"820 NW 76 ST, UNINCORPORATED COUNTY, FL 33150",33150.0,1.0,2024-11-19 00:00:00+00:00,2024.0,2.0,0.9,7.0,0,8.0
3049150320090,"13931 SW 26 TER, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2024-01-25 00:00:00+00:00,2024.0,2.0,0.9,,0,9.0
3079090320490,"30211 SW 156 AVE, UNINCORPORATED COUNTY, FL 33033",33033.0,2.0,2024-07-24 00:00:00+00:00,2024.0,2.0,0.9,3.0,1,10.0
3049130150750,"11730 SW 29 ST, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2025-06-12 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3012310991060,"212 NE 212 TER, UNINCORPORATED COUNTY, FL 33179",33179.0,1.0,2024-11-25 00:00:00+00:00,2024.0,2.0,0.9,,0,9.0
3040250430320,"5745 SW 56 TER, UNINCORPORATED COUNTY, FL 33143",33143.0,1.0,2024-05-29 00:00:00+00:00,2024.0,2.0,0.9,,0,4.0
3049010500020,"231 NW 124 AVE, UNINCORPORATED COUNTY, FL 33182",33182.0,2.0,2024-10-25 00:00:00+00:00,2024.0,2.0,0.9,,0,6.0
3059080100390,"15963 SW 109 ST, UNINCORPORATED COUNTY, FL 33196",33196.0,1.0,2024-01-18 00:00:00+00:00,2024.0,2.0,0.9,,0,17.0
3050190020960,"15000 MONROE ST, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2025-08-27 00:00:00+00:00,2025.0,1.0,0.9,1.0,0,19.0
3040030013880,"401 SW 79 CT, UNINCORPORATED COUNTY, FL 33144",33144.0,1.0,2024-08-19 00:00:00+00:00,2024.0,2.0,0.9,,0,7.0
3059090440940,"11434 SW 152 CT, UNINCORPORATED COUNTY, FL 33196",33196.0,1.0,2025-01-30 00:00:00+00:00,2025.0,1.0,0.9,,0,17.0
3079040040130,"29100 ALABAMA RD, UNINCORPORATED COUNTY, FL 33033",33033.0,1.0,2025-01-06 00:00:00+00:00,2025.0,1.0,0.9,1.0,0,10.0
3031040050960,"3232 NW 102 ST, UNINCORPORATED COUNTY, FL 33147",33147.0,1.0,2025-06-02 00:00:00+00:00,2025.0,1.0,0.9,2.0,0,4.0
3059100160480,"10621 SW 146 PL, UNINCORPORATED COUNTY, FL 33186",33186.0,1.0,2023-12-21 00:00:00+00:00,2023.0,3.0,0.9,,0,22.0
3040300130910,"11332 SW 71 ST, UNINCORPORATED COUNTY, FL 33173",33173.0,1.0,2025-04-29 00:00:00+00:00,2025.0,1.0,0.9,,0,4.0
3068110000130,"19440 SW 214 ST, UNINCORPORATED COUNTY, FL 33187",33187.0,1.0,2025-10-21 00:00:00+00:00,2025.0,1.0,0.9,,0,15.0
3069010260660,"12121 SW 193 TER, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2024-01-19 00:00:00+00:00,2024.0,2.0,0.9,,0,12.0
3069320020040,"27820 SW 164 AVE, UNINCORPORATED COUNTY, FL 33031",33031.0,2.0,2025-10-15 00:00:00+00:00,2025.0,1.0,0.9,,0,3.0
3049010010690,"45 NW 124 AVE, UNINCORPORATED COUNTY, FL 33182",33182.0,1.0,2025-04-18 00:00:00+00:00,2025.0,1.0,0.9,,0,6.0
3050070041010,"10820 SW 119 ST, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2024-03-04 00:00:00+00:00,2024.0,2.0,0.9,,0,19.0
3040171070050,"9971 SW 26 ST, UNINCORPORATED COUNTY, FL 33165",33165.0,1.0,2025-01-30 00:00:00+00:00,2025.0,1.0,0.9,,0,18.0
3049230070090,"13108 SW 48 ST, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2025-09-19 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3069010310480,"19886 SW 122 CT, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2025-04-29 00:00:00+00:00,2025.0,1.0,0.9,,0,12.0
3022050620110,"1566 NE 194 ST, UNINCORPORATED COUNTY, FL 33179",33179.0,1.0,2024-08-12 00:00:00+00:00,2024.0,2.0,0.9,,0,9.0
3069120412050,"11916 SW 209 TER, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2024-12-20 00:00:00+00:00,2024.0,2.0,0.9,,0,12.0
3050290160930,"16125 SW 103 PL, UNINCORPORATED COUNTY, FL 33157",33157.0,1.0,2024-01-26 00:00:00+00:00,2024.0,2.0,0.9,,0,21.0
3069010260470,"19354 SW 121 CT, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2025-08-05 00:00:00+00:00,2025.0,1.0,0.9,,0,12.0
3040200043240,"4600 SW 97 CT, UNINCORPORATED COUNTY, FL 33165",33165.0,2.0,2024-05-21 00:00:00+00:00,2024.0,2.0,0.9,,0,18.0
3069350340550,"26916 SW 132 COURT RD, UNINCORPORATED COUNTY, FL 33032",33032.0,2.0,2025-09-30 00:00:00+00:00,2025.0,1.0,0.9,,0,8.0
3059330200120,"15528 SW 172 TER, UNINCORPORATED COUNTY, FL 33187",33187.0,1.0,2024-10-03 00:00:00+00:00,2024.0,2.0,0.9,,0,15.0
3040130190080,"6285 BIRD RD, UNINCORPORATED COUNTY, FL 33155",33155.0,1.0,2025-01-29 00:00:00+00:00,2025.0,1.0,0.9,1.0,0,24.0
3021070053700,"5420 NW 178 ST, UNINCORPORATED COUNTY, FL 33055",33055.0,1.0,2025-06-16 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3040190070420,"11001 SW 56 ST, UNINCORPORATED COUNTY, FL 33165",33165.0,1.0,2025-08-22 00:00:00+00:00,2025.0,1.0,0.9,,0,18.0
3050040170060,"9180 SW 95 AVE, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2024-06-24 00:00:00+00:00,2024.0,2.0,0.9,,0,19.0
3059220430170,"14450 SW 139 AVENUE CIR W, UNINCORPORATED COUNTY, FL 33186",33186.0,1.0,2024-04-19 00:00:00+00:00,2024.0,2.0,0.9,2.0,0,22.0
3021330021730,"10320 NW 30 AVE, UNINCORPORATED COUNTY, FL 33147",33147.0,1.0,2024-10-17 00:00:00+00:00,2024.0,2.0,0.9,,0,4.0
3021270011970,"12230 NW 21 CT, UNINCORPORATED COUNTY, FL 33167",33167.0,1.0,2025-04-02 00:00:00+00:00,2025.0,1.0,0.9,,0,1.0
3050030300070,"8221 SW 89 ST, UNINCORPORATED COUNTY, FL 33156",33156.0,1.0,2024-02-14 00:00:00+00:00,2024.0,2.0,0.9,,0,14.0
3060060110270,"19910 SW 114 AVE, UNINCORPORATED COUNTY, FL 33157",33157.0,1.0,2024-02-08 00:00:00+00:00,2024.0,2.0,0.9,,0,21.0
3050300070810,"10710 SW 153 ST, UNINCORPORATED COUNTY, FL 33157",33157.0,1.0,2024-05-28 00:00:00+00:00,2024.0,2.0,0.9,,0,21.0
3059010210850,"9446 SW 123 CT, UNINCORPORATED COUNTY, FL 33186",33186.0,1.0,2024-04-09 00:00:00+00:00,2024.0,2.0,0.9,,0,22.0
3021060320830,"5389 NW 188 ST, UNINCORPORATED COUNTY, FL 33055",33055.0,1.0,2025-03-12 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3069010010120,"12351 SW 188 ST, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2024-10-21 00:00:00+00:00,2024.0,2.0,0.9,,0,12.0
3059270280210,"13840 SW 153 TER, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2024-12-04 00:00:00+00:00,2024.0,2.0,0.9,,0,12.0
3021230350050,"14101 NW 17 AVE, UNINCORPORATED COUNTY, FL 33167",33167.0,1.0,2024-12-09 00:00:00+00:00,2024.0,2.0,0.9,,0,1.0
3022200022613,"1310 NE 146 ST, UNINCORPORATED COUNTY, FL 33161",33161.0,1.0,2025-09-04 00:00:00+00:00,2025.0,1.0,0.9,,0,7.0
3049130090040,"12600 SW 34 ST, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2025-04-07 00:00:00+00:00,2025.0,1.0,0.9,2.0,1,9.0
3078160000410,"31700 SW 207 AVE, UNINCORPORATED COUNTY, FL 33030",33030.0,1.0,2025-04-10 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3059010230040,"12340 SW 96 ST, UNINCORPORATED COUNTY, FL 33186",33186.0,1.0,2024-04-04 00:00:00+00:00,2024.0,2.0,0.9,,0,22.0
3059360054400,"17430 SW 118 PL, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2025-01-24 00:00:00+00:00,2025.0,1.0,0.9,,0,12.0
3040050190030,"431 SW 99 AVE, UNINCORPORATED COUNTY, FL 33174",33174.0,1.0,2023-12-27 00:00:00+00:00,2023.0,3.0,0.9,,0,5.0
3050090240170,"8955 SW 118 ST, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2024-03-26 00:00:00+00:00,2024.0,2.0,0.9,1.0,0,19.0
3050070440020,"11378 SW 116 TERRACE RD, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2024-06-26 00:00:00+00:00,2024.0,2.0,0.9,1.0,0,19.0
3040160051020,"9265 SW 38 ST, UNINCORPORATED COUNTY, FL 33165",33165.0,2.0,2024-11-07 00:00:00+00:00,2024.0,2.0,0.9,1.0,0,18.0
3049160060660,"15473 SW 32 TER, UNINCORPORATED COUNTY, FL 33185",33185.0,1.0,2024-02-12 00:00:00+00:00,2024.0,2.0,0.9,,0,3.0
3050070230050,"11351 SW 112 CIRCLE LN N, UNINCORPORATED COUNTY, FL 33176",33176.0,1.0,2024-12-09 00:00:00+00:00,2024.0,2.0,0.9,,0,19.0
3031040034240,"3066 NW 93 ST, UNINCORPORATED COUNTY, FL 33147",33147.0,1.0,2025-04-23 00:00:00+00:00,2025.0,1.0,0.9,,0,4.0
3040130062111,"2829 SW 67 AVE, UNINCORPORATED COUNTY, FL 33155",33155.0,2.0,2025-03-27 00:00:00+00:00,2025.0,1.0,0.9,1.0,0,24.0
3040320062050,"7800 SW 98 CT, UNINCORPORATED COUNTY, FL 33173",33173.0,1.0,2025-10-01 00:00:00+00:00,2025.0,1.0,0.9,,0,4.0
3020030390090,"7984 NW 186 TER, UNINCORPORATED COUNTY, FL 33015",33015.0,1.0,2025-09-11 00:00:00+00:00,2025.0,1.0,0.9,,0,17.0
3059270080510,"15942 SW 138 CT, UNINCORPORATED COUNTY, FL 33177",33177.0,1.0,2025-09-22 00:00:00+00:00,2025.0,1.0,0.9,,0,12.0
3079030011500,"14470 SW 292 ST, UNINCORPORATED COUNTY, FL 33033",33033.0,1.0,2025-03-31 00:00:00+00:00,2025.0,1.0,0.9,,0,10.0
3059080130560,"10501 SW 161 AVE, UNINCORPORATED COUNTY, FL 33196",33196.0,1.0,2024-07-30 00:00:00+00:00,2024.0,2.0,0.9,,0,17.0
3069260130620,"24841 SW 129 CT, UNINCORPORATED COUNTY, FL 33032",33032.0,1.0,2025-05-20 00:00:00+00:00,2025.0,1.0,0.9,,0,8.0
3012310040190,"20581 NE 6 CT, UNINCORPORATED COUNTY, FL 33179",33179.0,1.0,2025-05-08 00:00:00+00:00,2025.0,1.0,0.9,,0,9.0
3040170370010,"3501 SW 99 AVE, UNINCORPORATED COUNTY, FL 33165",33165.0,1.0,2024-04-14 00:00:00+00:00,2024.0,2.0,0.9,,0,18.0
3031090200360,"3110 NW 77 ST, UNINCORPORATED COUNTY, FL 33147",33147.0,2.0,2024-02-13 00:00:00+00:00,2024.0,2.0,0.9,,0,4.0
3031030040210,"1871 NW 87 ST, UNINCORPORATED COUNTY, FL 33147",33147.0,1.0,2024-01-30 00:00:00+00:00,2024.0,2.0,0.9,,0,4.0
3059240250490,"12365 SW 145 ST, UNINCORPORATED COUNTY, FL 33186",33186.0,1.0,2025-05-01 00:00:00+00:00,2025.0,1.0,0.9,,0,22.0
3022180150060,"795 NE 155 TER, UNINCORPORATED COUNTY, FL 33162",33162.0,1.0,2025-08-13 00:00:00+00:00,2025.0,1.0,0.9,,0,2.0
3049260020020,"13370 SW 66 ST, UNINCORPORATED COUNTY, FL 33183",33183.0,1.0,2024-04-03 00:00:00+00:00,2024.0,2.0,0.9,,0,11.0
3040200112460,"5310 SW 103 PL, UNINCORPORATED COUNTY, FL 33165",33165.0,1.0,2025-08-29 00:00:00+00:00,2025.0,1.0,0.9,,0,18.0
3040170031470,"10140 SW 39 TER, UNINCORPORATED COUNTY, FL 33165",33165.0,1.0,2023-12-05 00:00:00+00:00,2023.0,3.0,0.9,,0,18.0
3022070270130,"880 NE 180 ST, UNINCORPORATED COUNTY, FL 33162",33162.0,1.0,2025-10-28 00:00:00+00:00,2025.0,1.0,0.9,,0,2.0
3069350040080,"12840 SW 268 ST, UNINCORPORATED COUNTY, FL 33032",33032.0,1.0,2024-05-21 00:00:00+00:00,2024.0,2.0,0.9,,0,8.0
3069350160490,"27925 SW 132 PL, UNINCORPORATED COUNTY, FL 33032",33032.0,1.0,2025-02-10 00:00:00+00:00,2025.0,1.0,0.9,,0,8.0
3021130270010,"331 N BISCAYNE RIVER DR, UNINCORPORATED COUNTY, FL 33169",33169.0,1.0,2025-09-16 00:00:00+00:00,2025.0,1.0,0.9,,0,8.0
3059230240170,"12924 SW 136 TER, UNINCORPORATED COUNTY, FL 33186",33186.0,1.0,2025-10-13 00:00:00+00:00,2025.0,1.0,0.9,,0,22.0
3049100870130,"14243 SW 25 TER, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2024-02-20 00:00:00+00:00,2024.0,2.0,0.9,,0,9.0
3021070031550,"4912 NW 179 TER, UNINCORPORATED COUNTY, FL 33055",33055.0,1.0,2024-02-06 00:00:00+00:00,2024.0,2.0,0.9,,0,9.0
3049140230130,"13465 SW 27 ST, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2024-06-20 00:00:00+00:00,2024.0,2.0,0.9,,0,9.0
3049270490210,"6301 SW 138 PL, UNINCORPORATED COUNTY, FL 33183",33183.0,1.0,2023-12-05 00:00:00+00:00,2023.0,3.0,0.9,,0,11.0
3040240200180,"5703 SW 51 ST, UNINCORPORATED COUNTY, FL 33155",33155.0,2.0,2024-08-23 00:00:00+00:00,2024.0,2.0,0.9,,0,24.0
3040080060190,"1421 SW 102 AVE, UNINCORPORATED COUNTY, FL 33174",33174.0,1.0,2024-06-07 00:00:00+00:00,2024.0,2.0,0.9,,0,5.0
3049130111180,"3305 SW 124 CT, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2025-03-27 00:00:00+00:00,2025.0,1.0,0.9,1.0,0,9.0
3040230230040,"4258 SW 69 AVE, UNINCORPORATED COUNTY, FL 33155",33155.0,2.0,2024-08-20 00:00:00+00:00,2024.0,2.0,0.9,,0,24.0
3049120010050,"2521 SW 124 AVE, UNINCORPORATED COUNTY, FL 33175",33175.0,1.0,2024-06-19 00:00:00+00:00,2024.0,2.0,0.9,,0,9.0
